maximumOperatingTime,currentOperatingTime,age,numberTo,wear
33525,2440,1,2,7.278150633855333
97077,2709,1,2,2.7905683117525264
31148,19845,8,15,64.2119558238089
22155,3759,1,1,17.466824644549764
66090,58745,22,64,78.88636707520048
48835,37454,16,14,85.69499334493703
72676,40706,20,59,46.510237217238156
97793,51800,19,12,65.96902641293345
43908,15085,7,10,36.355926027147675
89554,54736,23,51,58.620664626929
36381,11359,4,2,34.22234133201397
26062,10006,4,4,40.39306269664646
35575,27688,12,34,72.82993675333802
4342,1426,1,2,32.84200829111008
71864,24018,9,21,31.921462762996775
61593,56955,27,19,109.9699235302713
48848,31181,14,25,65.33270553553882
41515,9018,4,5,23.22226905937613
11690,6643,2,3,57.32634730538922
47536,24808,12,23,52.687815550319755
37676,5504,2,5,14.108769508440389
35685,12367,6,11,35.156017934706455
80814,17168,7,11,22.743843888435173
73130,4171,2,2,6.703541638178587
41297,25151,11,25,59.402729011792616
4686,4038,2,3,86.67157490396927
45672,4533,2,4,9.925118234366789
98600,6094,2,2,7.18052738336714
31934,6801,3,8,20.29705016596731
28704,24673,12,16,89.95666109253065
7563,4201,2,5,55.04674071135793
20598,13052,5,9,63.86537527915331
52653,8223,4,8,15.617343741097372
16394,7937,3,3,49.914053922166644
61384,8928,3,4,15.544506711846736
58028,13515,5,3,26.79048045771007
75916,44003,20,17,69.46274830075347
14604,11291,4,9,76.81443440153383
74759,2369,1,2,3.1688492355435462
95970,25751,9,27,22.332343440658533
27730,18708,9,13,69.96483952398124
86069,31078,12,35,30.608238738686403
73106,64385,24,48,88.07074658714744
55646,2415,1,3,3.8399345864931886
48399,3185,1,1,7.080714477571851
60009,48838,19,43,78.88445899781699
94707,75733,26,74,68.96557804597337
19825,16857,7,12,86.02900378310214
68734,52681,18,31,79.14474641371082
8157,4803,2,4,58.88194189040089
37266,10554,5,3,31.820721300917725
89054,12794,5,7,15.86656410717093
10288,3311,1,1,32.68312597200622
2952,1352,1,1,46.299457994579946
46338,26910,10,17,59.573287582545646
27358,12740,4,2,49.567731559324514
68438,66969,27,33,108.3535316636956
63111,60968,23,32,103.60439543027364
18185,7370,3,4,41.52790761616717
59082,25301,9,11,46.323533394265596
85585,19097,7,14,22.3134895133493
17040,4246,2,5,24.417840375586852
7616,3606,1,3,46.84768907563026
82823,19613,9,8,28.680620117600185
51923,45030,19,26,92.72457292529322
91301,78861,30,30,101.37473850231652
78915,11215,5,7,15.711493378952035
62301,14817,6,5,27.282924832667213
61759,45616,19,45,70.36129956767434
47901,8370,3,4,18.473539174547504
58523,4460,2,5,7.120935358747843
26309,25135,11,7,103.03764871336806
92090,58505,23,28,72.53024215441417
86269,72884,28,39,92.9845773105055
61840,1372,0,0,2.21862871927555
58533,39499,18,26,72.48159158081765
94821,64906,28,29,81.95108151147952
60798,32569,15,36,50.56919635514326
77943,34722,16,17,52.04793887841115
5282,1963,1,2,37.16395304808785
68055,5657,2,6,7.312394386892954
60995,23973,12,10,46.30322157553898
44233,25026,10,21,56.0776682567314
26607,13184,5,8,50.550870071785624
79396,51144,21,56,57.41634339261424
53820,42209,17,45,72.92623560014864
2778,1271,0,0,45.752339812814974
91980,41911,14,8,55.56534029136769
65719,42715,18,44,60.99642416957043
70404,44656,22,17,76.92821430600534
87038,6880,3,5,8.404593395987959
25631,1358,0,0,5.298271624205064
63591,56803,21,63,78.8255334874432
28674,24364,9,15,86.46896142847179
1310,852,0,0,65.0381679389313
86334,13983,5,8,17.19640002779901
51421,25412,12,10,56.41949787051982
53253,32208,11,26,58.4810996563574
89151,85580,30,25,113.49443640564884
49904,32509,12,14,70.14307470343059
27399,19227,7,10,72.17409394503449
82968,82385,34,100,83.29731944846208
76241,18466,6,7,26.720563738670794
25790,15337,7,7,62.96878635129896
95388,92220,36,33,116.1788275254749
55502,11647,4,5,22.484829375518
10219,7260,3,6,71.04413347685684
25811,23633,8,4,97.56173724381077
24551,7851,3,2,33.97833082155513
50870,30866,13,13,67.1762335364655
97456,37262,17,35,37.73469052700706
62334,9466,3,3,16.68593384027978
55355,29057,13,37,46.992096468250395
11960,9758,4,4,83.58862876254182
25993,22147,10,7,91.70370869080136
26971,19380,7,15,71.3549553223833
34064,411,0,0,1.2065523720056366
31179,28872,11,31,88.10078899259116
35450,32475,11,6,99.60789844851904
13145,7975,3,3,62.169456066945614
55250,53586,25,67,88.48823529411764
95870,13331,5,13,12.405288411390423
93459,70846,35,38,91.80436341069345
16356,5017,2,2,31.67375886524823
14934,8390,3,4,57.1805276550154
82225,57109,27,24,84.45454545454545
2212,506,0,0,22.875226039783
35431,19810,7,5,60.41148993818972
11507,6564,3,5,57.543538715564445
80793,38568,16,37,45.2368088819576
84130,54463,25,41,69.2367169856175
82010,54128,22,46,65.00170710888916
29643,29609,10,18,100.88530175758189
38976,9164,4,11,22.011904761904763
19835,11257,5,5,59.25321401562894
94469,77263,31,44,90.78661783230477
24843,3771,1,1,15.679326168337155
90396,58765,27,31,76.50840745165715
38999,25492,9,25,61.865778609707945
72609,23525,9,7,37.89956479224338
14775,7505,3,4,51.79526226734349
45641,13763,7,20,27.154904581407067
59939,53494,23,28,98.24740152488363
96652,59077,29,79,50.623411828001494
48113,45450,19,39,93.96511337892046
78183,15253,7,19,17.00935625391709
30525,2739,1,2,8.972972972972974
64981,45076,20,18,80.36796909865961
17086,3018,1,1,18.16358422099965
10815,3240,1,2,29.958391123439664
29680,12086,6,12,40.7210242587601
2235,558,0,0,24.96644295302013
12044,7402,3,9,59.95798737960811
78527,67895,24,56,82.46070778203675
48384,19358,10,10,45.00909391534392
93286,28156,14,21,33.68244967090453
77796,72450,36,53,102.62818139750115
79344,62522,31,37,91.29864892115346
16866,8683,3,2,53.48227202656231
24645,2575,1,1,10.948366808683303
36770,1044,0,0,2.8392711449551267
28546,12434,5,11,43.05776641210678
97759,63041,30,26,81.48613426896756
81244,51787,18,30,66.74255329624341
99066,30820,14,35,27.61057274948014
98044,32261,13,7,42.40461425482436
27300,3343,2,3,12.745421245421245
35054,83,0,0,0.23677754321903347
24928,17004,6,12,68.21245186136072
20605,18726,6,7,93.38085416161125
21838,18942,7,16,85.73871233629454
77222,70983,31,32,106.92069617466525
88107,33869,12,25,37.940759531024774
66536,5394,2,3,8.606889503426716
67984,2357,1,1,3.966992233466698
71006,31977,14,19,49.5342224600738
99601,70971,24,31,79.75530868163975
4915,1912,1,1,39.40132248219736
28303,20591,8,18,71.75200508779989
22047,16593,6,12,75.26194040005443
87104,25771,10,26,26.58647134459956
28536,19252,9,13,69.96565741519484
19518,17235,6,13,87.80310482631417
26394,16403,5,9,62.64670000757748
15648,6102,3,8,37.99539877300614
22728,9141,4,6,41.219112988384374
56684,46988,18,50,75.89464399124974
29145,4886,2,2,17.764453594098473
14945,641,0,0,4.289059886249582
21497,4589,2,4,21.347164720658697
60108,21872,9,26,32.387835229919475
47566,26646,9,21,54.519005171761336
39127,14780,5,3,41.27442686635827
33343,23399,11,12,75.17664877185616
45690,38014,15,12,92.19982490698183
21510,20332,10,7,101.02347745234775
22226,15348,6,12,69.05426077566814
37669,702,0,0,1.8636013698266478
75459,5961,2,1,9.399654116805152
36859,32092,15,18,93.06693073604819
62917,39178,17,16,71.26933897038955
93020,80763,38,64,92.8232638142335
12043,3576,1,3,29.193597940712447
53603,28794,12,13,59.21714269723711
86884,12858,4,10,13.799042401362737
40865,23708,9,6,64.01541661568581
43489,9848,4,3,25.144806732737013
74176,65421,29,74,80.19699094046592
23058,3239,2,5,13.54718535866077
29387,14015,7,17,46.19115595331269
9535,5147,2,2,54.98007341373886
70834,47940,20,11,82.17936301775983
97979,17744,8,17,17.610003163943293
42429,29711,10,10,75.02521860048552
5428,4860,2,4,89.53574060427414
27926,20189,10,9,77.79463582324716
6232,3289,1,3,52.27599486521181
83342,24832,12,9,37.29530128866598
60187,38684,14,16,70.27301576752456
68561,39468,17,18,65.56625486792782
33434,25110,10,26,72.10318837111923
55933,23070,9,20,40.245776196520836
74435,42497,19,22,65.09276550010077
12320,434,0,0,3.5227272727272725
89396,53496,19,41,58.341603651170075
53558,21593,10,8,46.31703947122745
63071,9479,5,3,18.529094195430545
75425,6833,3,6,9.059330460722572
99610,1000,0,0,1.0039152695512499
15988,9152,3,8,56.242932199149365
19996,4083,2,5,19.91908381676335
98182,73948,36,100,61.31726793098531
27412,23223,10,11,89.21837151612432
8380,3461,1,3,40.80071599045346
68732,39844,15,13,66.47008671361229
13119,8920,4,4,69.99298727037122
94443,60830,24,61,57.90922037631164
39086,26141,9,19,66.38072455610704
43228,10776,4,9,24.42828722124549
52096,3818,2,6,6.3287776412776395
4827,3920,2,5,80.70986119743111
74730,59992,26,19,96.77833534055935
19268,19267,8,14,100.99481004774756
64552,53895,25,68,74.49082909902094
45386,12331,5,10,27.16917111003393
5193,4960,2,1,97.01319083381475
98481,19358,7,18,17.656583503416904
39761,1207,0,0,3.0356379366716126
51136,17427,7,9,36.57970901126408
8415,8337,3,5,99.57308377896612
65185,40563,18,24,68.22750632814297
89512,49604,18,33,56.916033604432926
62411,52241,25,36,90.70479562897566
45373,11571,5,8,26.501950499195555
20311,6969,2,3,34.81145684604402
35072,22668,10,12,68.63275547445255
69841,62431,30,82,78.39018628026518
71774,69755,31,32,112.18700365034692
5190,3819,2,3,74.08381502890174
51286,27581,14,20,57.778809031704554
16522,9057,4,4,56.81781866602106
12620,169,0,0,1.3391442155309032
27495,21931,10,15,82.26359338061467
86585,74428,33,50,93.95946180054281
30977,12872,6,10,42.553410594957555
97269,30394,10,29,26.747365553259513
79392,41616,21,37,54.918379685610645
4278,2487,1,2,58.13464235624123
24629,21712,9,8,93.15623858053515
76571,56282,22,33,79.00302333781718
1327,290,0,0,21.85380557648832
82716,42541,15,43,44.93019488369845
65161,34684,12,30,50.22815794723837
65489,13973,6,16,19.336407640977875
65697,13588,5,5,23.18283178836172
41123,17807,7,10,45.301801911339155
89220,15522,7,7,20.897444519166104
34917,6175,2,2,18.68479537188189
26907,4965,2,1,19.952447318541644
64988,62124,22,44,95.5930325598572
89768,45385,17,50,42.55810533820515
78833,67763,31,17,108.45765732624662
37829,799,0,0,2.1121361918105155
62225,26275,10,13,45.72579349136199
64390,18454,9,15,30.15972977170368
84116,8348,4,8,9.924390127918588
52453,10108,3,3,20.77058509522811
50662,34556,12,28,66.20891397891911
11907,8196,3,2,70.8334593096498
66701,6410,2,3,10.11005082382573
55967,24235,9,18,43.30230314292351
84908,69272,33,22,103.58477410844678
47966,26125,9,19,53.965663178084476
58670,12284,4,4,22.93744673598091
91348,21212,7,20,20.221088584314927
9262,761,0,0,8.216367955085294
84719,63408,24,54,71.8450760750245
64912,23748,11,20,37.58491496179443
10924,1404,0,0,12.852435005492493
11970,5797,2,4,48.42940685045948
29335,18513,7,4,68.10891426623488
70352,577,0,0,0.82016147373209
50191,28596,11,32,51.97435795262098
44946,21460,11,7,55.24618431006096
18769,7698,3,6,41.01443870211519
40892,22027,8,19,52.36628191333268
73162,48221,22,27,74.40989858123069
99711,49758,20,18,60.90221740831001
64191,1854,1,3,2.3882553629013414
59910,11209,4,9,18.20973126356201
41811,11964,6,9,30.114479443208722
98489,83744,30,37,96.52878494045021
75938,2996,1,1,4.445323816797915
14782,8304,3,2,58.176430794209175
91034,32534,15,32,34.73829558187051
4881,950,0,0,19.46322474902684
74162,18721,9,18,25.243386100698473
2711,1192,0,0,43.96901512357064
1135,619,0,0,54.5374449339207
52338,29296,10,9,61.474626466429754
66320,17315,8,16,26.108262967430633
86169,58579,22,61,59.48152467824855
71130,44706,18,30,65.85111767186842
96688,27863,13,25,29.317433394009598
6684,4027,1,2,60.24835427887492
77009,19765,8,23,22.16583126647535
90264,18385,7,15,19.868031551892226
44696,10998,4,3,27.106228745301593
50272,7755,3,6,15.426082113303629
78153,60027,24,36,82.80703235960232
30738,10240,5,4,36.313813520723535
13429,4554,2,1,35.41168366967012
97739,7067,3,6,7.230481179467766
45572,11905,4,6,27.123496884051608
3044,1197,0,0,39.32325886990802
83028,28680,13,36,29.542563954328664
53159,27448,11,19,53.13377791154837
89382,38830,17,16,52.442751336958224
44396,5432,2,2,13.235336516803317
34117,33712,14,20,102.81290852067883
26172,18649,7,7,74.75554027204646
28829,10478,5,7,37.84534669950397
5999,3246,1,2,54.10901816969495
95803,94084,40,26,125.20569293237165
51791,34087,17,13,76.31645459635844
74303,64862,32,71,83.79391814596988
20597,13808,5,12,66.03888915861533
85172,14443,7,7,20.457450805429012
15991,12107,4,10,74.71133762741542
5414,1125,0,0,20.779460657554488
55739,16397,6,9,30.917463535406085
24751,12801,5,11,51.2191224596986
18898,8926,3,3,48.73251137686528
1171,682,0,0,58.24081981212638
54843,38653,18,54,61.479368378826834
28096,8573,3,7,30.01324031890661
5195,3858,2,4,74.26371511068335
9965,8955,3,8,88.86452584044154
85770,69956,28,76,71.56231782674594
26237,199,0,0,0.7584708617601098
43327,22709,8,13,53.91304498349759
39529,27268,12,26,67.98226618432037
34205,18632,9,26,50.471568484139745
32117,4660,2,4,14.509449824080704
34243,18224,8,13,54.71963613001197
80572,7364,3,8,8.13965149183339
62004,51678,18,35,83.84623572672731
85540,6558,3,3,9.166588730418518
59659,43326,16,35,71.12273923465025
83685,83061,28,74,90.254346657107
2948,1798,1,1,61.490502035278155
6643,5844,2,4,87.9723016709318
80272,3191,1,1,4.475234203707394
88749,3576,2,4,4.029341175675219
48943,31033,15,21,67.90641153995463
53854,45684,22,16,98.82935343707061
70061,55649,22,27,87.92935441971996
37160,32764,12,32,84.17007534983853
68172,22405,8,8,36.86539928416359
49911,20950,8,19,40.474714992686984
54424,38578,14,32,68.88416874908128
28844,3273,1,1,11.847247261128832
13929,10226,4,8,73.41517696891378
38304,23139,8,8,64.40883458646616
94615,29453,10,17,32.62931353379486
20657,14700,6,16,69.1623178583531
84884,55064,22,32,70.86970453795769
63307,41346,19,48,60.31031323550317
54398,48468,17,50,81.0988639288209
13398,9710,4,2,75.47350350798627
99795,85762,29,42,93.9381732551731
78828,65854,25,17,100.04138123509414
48992,40361,15,14,90.3828380143697
55229,13934,5,6,27.22949899509316
70393,5957,2,2,9.462489167957042
46551,45372,18,37,96.96729393568344
75428,19991,7,16,25.50342048045819
32048,8550,3,4,27.67873190214678
71689,23796,11,6,41.19337694764887
94333,82761,36,88,79.73281884388284
21015,7690,3,7,36.09290982631454
53188,1105,1,2,2.077536286380387
31915,6363,2,5,19.437333542221527
1196,93,0,0,7.775919732441471
40147,16089,5,6,42.0752235534411
44744,9637,4,5,23.038083318433756
10893,3425,2,4,31.442210593959423
52627,15345,6,9,30.65803674919718
65107,3935,2,2,7.043896969603882
77813,47578,20,47,57.644024777350836
94120,27194,11,20,29.892902677433064
9546,5241,2,6,53.902576995600256
1394,1084,0,0,77.76183644189383
23071,7593,4,10,31.911447271466344
89889,87316,37,26,121.1375807940905
56285,46113,18,18,90.92768943768321
72910,47936,19,10,79.74681113701824
87106,16519,6,17,16.464250453470484
91851,51629,23,28,65.20951323338886
83527,38841,15,16,53.50113137069451
5746,4717,2,6,81.09189001044204
55354,43650,19,40,77.85608989413593
5126,3034,1,2,59.188451033944595
42729,10922,5,3,29.061094338739498
33878,7221,3,3,22.814717515791962
39848,13534,5,12,32.964063441076085
46338,23668,11,21,51.57686995554405
4590,4075,2,5,88.27995642701525
44845,37734,17,46,78.1431597725499
22978,12388,5,3,57.41243798415876
46770,42063,16,35,88.43585631815266
1330,337,0,0,25.33834586466165
78924,35368,14,10,53.81273123511226
56652,25119,10,19,44.839123067146794
82977,48964,18,34,60.00912300999073
16604,11557,4,8,69.60370994940979
22519,9309,4,6,42.33842532972157
68155,24299,11,7,43.152556672291105
78883,38039,14,12,56.222050378408525
68759,51963,18,39,74.07265230733431
4059,3358,1,1,83.22973638827297
60242,20128,7,9,35.91190531522858
83136,40905,16,25,52.7025115473441
5574,922,0,0,16.541083602439898
39132,17849,6,11,46.112286619646326
78877,38756,17,21,55.63472875489687
26086,24356,11,12,98.36809016330598
13837,7904,3,3,58.62220857122208
23745,17070,8,23,68.3888186986734
14220,8348,4,8,58.70604781997188
34381,25241,10,10,78.41554928594282
3902,3451,1,2,88.44182470527933
18613,5741,2,4,30.844033739859242
75663,56061,24,53,71.5930177233258
40832,2518,1,1,6.66673197492163
86235,47465,22,35,59.54145648518582
86558,14193,6,17,13.897097899674208
2859,2252,1,2,78.76880027981812
33391,24050,10,21,71.52539606480788
59255,54196,27,52,92.46232385452706
94455,90419,34,29,115.2270657985284
27485,11700,5,3,46.06867382208477
11264,3528,1,3,30.821022727272727
75927,54774,22,23,82.64034533170019
96343,32519,11,18,35.753360389441895
39186,9740,3,5,25.35581585260042
59884,23083,9,13,41.046189299312005
38575,26894,12,15,74.21872974724563
14617,11320,5,4,80.44407197099268
49508,17348,6,6,38.040801486628425
5712,1333,0,0,23.336834733893557
31679,12984,6,9,42.48614223933836
59015,37699,15,8,74.88036939761078
46982,2896,1,1,6.664062832574177
48518,33975,14,19,74.52555752504225
68448,60734,22,55,83.23013090229078
2790,1786,1,2,64.01433691756273
5539,427,0,0,7.708972738761509
49009,14117,5,14,26.804913383256135
73655,26404,13,25,36.34821125517616
47875,32318,11,32,62.50496083550914
15980,10989,4,11,67.26720901126407
12159,1782,1,3,14.15581051073279
80079,21103,8,9,29.852726682401126
90198,43340,20,59,38.54984589458746
17613,15420,5,13,86.04896951115653
34696,20989,10,25,57.994005072630856
63579,51953,18,31,84.21408798502651
92935,47594,18,37,50.7121375154678
88771,87177,31,75,91.70436854378119
63573,49865,20,50,73.43738694099696
93456,71485,28,26,91.49054100325287
3976,591,0,0,14.864185110663986
3902,1142,0,0,29.267042542286006
54325,48674,17,26,93.59779107225035
20904,5634,2,5,26.451779563719864
18275,2232,1,2,12.213406292749658
75563,196,0,0,0.259386207535434
41438,2293,1,3,5.033568222404556
55708,49285,20,44,86.47023766783944
67823,3178,1,2,4.685726081122922
32843,23278,9,7,76.37659470815699
74461,69556,26,31,103.9126589758397
37458,30721,15,12,91.0145229323509
33663,30113,12,15,93.95429700264386
63455,20558,9,14,34.39776219368056
54579,44605,21,47,79.22557210648785
15310,8760,4,11,55.71750489875898
44639,421,0,0,0.9431214856963642
26432,20095,8,21,73.52527239709443
45200,19642,9,11,46.95575221238938
30799,23976,9,12,80.84668333387448
96929,61569,28,38,72.51968966975828
71394,6657,3,2,11.324312967476258
66506,17406,7,13,26.672074700027068
65865,22553,10,19,34.74125104380172
20683,14187,5,6,70.59256394140115
